0,1,2,3,4,class
-81,-74,-75,-81,-79,4
-83,-80,-72,-84,-85,4
-87,-77,-73,-80,-85,4
-85,-75,-72,-84,-83,4
-80,-77,-74,-80,-84,4
-80,-79,-74,-81,-83,4
-85,-81,-73,-85,-81,4
-78,-79,-76,-82,-83,4
-81,-77,-73,-87,-83,4
-84,-75,-74,-88,-86,4
-84,-78,-73,-84,-82,4
-83,-83,-72,-84,-83,4
-82,-81,-78,-82,-86,4
-85,-79,-75,-84,-88,4
-87,-78,-75,-83,-88,4
-84,-76,-77,-89,-84,4
-82,-79,-73,-82,-83,4
-82,-79,-72,-83,-89,4
-82,-78,-72,-84,-83,4
-82,-79,-72,-84,-86,4
-80,-78,-75,-90,-84,4
-80,-78,-71,-83,-85,4
-82,-80,-72,-84,-83,4
-82,-74,-74,-81,-83,4
-87,-80,-68,-83,-84,4
-84,-78,-73,-86,-83,4
-84,-80,-77,-84,-88,4
-82,-80,-73,-85,-86,4
-81,-79,-74,-85,-83,4
-83,-79,-73,-87,-85,4
-82,-79,-72,-84,-88,4
-84,-77,-73,-84,-87,4
-84,-78,-72,-84,-83,4
-85,-81,-71,-90,-83,4
-83,-78,-73,-83,-89,4
-84,-80,-73,-82,-83,4
-84,-80,-75,-90,-84,4
-87,-78,-73,-86,-84,4
-84,-76,-70,-85,-89,4
-86,-81,-75,-85,-90,4
-83,-80,-73,-84,-84,4
-87,-81,-74,-84,-91,4
-82,-78,-75,-83,-84,4
-85,-81,-75,-83,-84,4
-85,-79,-73,-82,-85,4
-85,-76,-75,-84,-84,4
-83,-78,-73,-85,-83,4
-86,-78,-71,-84,-83,4
-83,-80,-70,-87,-87,4
-83,-77,-73,-83,-83,4
-87,-78,-72,-82,-83,4
-89,-79,-75,-86,-83,4
-89,-78,-73,-85,-82,4
-83,-80,-73,-84,-82,4
-82,-78,-73,-84,-83,4
-83,-78,-74,-85,-84,4
-83,-79,-74,-86,-83,4
-84,-81,-74,-86,-83,4
-83,-79,-73,-86,-82,4
-82,-77,-75,-84,-86,4
