aibo1,aibo2,aibo3,aibo4,aibo5,Sector
-71,-60,-37,-45,-60,20
-66,-53,-44,-58,-70,20
-58,-53,-44,-63,-68,20
-62,-57,-43,-62,-71,20
-62,-54,-36,-58,-64,20
-57,-56,-36,-54,-63,20
-62,-54,-34,-50,-60,20
-67,-53,-37,-56,-63,20
-61,-55,-36,-51,-61,20
-69,-55,-40,-58,-62,20
-62,-63,-35,-58,-60,20
-67,-56,-41,-58,-59,20
-63,-55,-43,-63,-64,20
-63,-63,-36,-65,-66,21
-74,-57,-37,-54,-71,21
-62,-55,-38,-57,-69,21
-56,-55,-38,-60,-80,21
-55,-57,-36,-60,-72,21
-56,-60,-39,-57,-63,21
-64,-62,-38,-63,-71,21
-58,-56,-30,-52,-65,21
-55,-51,-33,-53,-72,21
-63,-53,-37,-51,-64,21
-62,-58,-36,-50,-68,21
-67,-55,-34,-60,-66,21
-67,-58,-39,-55,-72,21
-65,-60,-35,-62,-68,21
-62,-58,-32,-55,-73,21
-61,-59,-32,-59,-70,21
-57,-58,-38,-60,-71,21
-54,-57,-35,-55,-62,21
-59,-60,-35,-54,-71,21
-59,-59,-38,-55,-70,21
-56,-59,-36,-56,-65,21
-62,-59,-33,-61,-66,21
-65,-57,-37,-62,-67,21
-62,-64,-45,-64,-68,21
-59,-57,-32,-50,-68,21
-57,-55,-41,-52,-64,21
-58,-62,-32,-52,-60,21
-57,-55,-31,-54,-62,21
-55,-57,-36,-59,-61,21
-67,-62,-60,-57,-63,22
-67,-60,-51,-60,-61,22
-60,-58,-54,-65,-70,22
-58,-63,-45,-63,-68,22
-67,-55,-42,-59,-69,22
-64,-56,-44,-62,-70,22
-66,-56,-42,-57,-69,22
-66,-57,-41,-54,-73,22
-69,-58,-42,-57,-67,22
-72,-69,-41,-56,-58,22
-72,-67,-44,-56,-64,22
-66,-68,-51,-62,-58,22
-65,-70,-43,-54,-54,22
-72,-64,-40,-56,-55,22
-60,-66,-41,-51,-55,22
-65,-64,-43,-52,-61,22
-66,-54,-49,-64,-62,22
-61,-63,-51,-60,-62,22
-60,-59,-47,-58,-59,22
-56,-63,-42,-59,-65,22
-63,-54,-45,-67,-64,22
-65,-55,-39,-56,-70,22
-63,-56,-43,-57,-72,22
-64,-59,-52,-64,-63,22
-63,-62,-60,-62,-67,22
-60,-56,-46,-59,-70,22
-58,-53,-41,-65,-68,22
-66,-58,-40,-62,-70,22
-64,-55,-40,-62,-73,22
-66,-57,-40,-57,-64,22
-60,-57,-44,-54,-66,22
-52,-37,-58,-74,-77,23
-52,-36,-58,-71,-79,23
-54,-43,-48,-66,-62,23
-54,-44,-48,-62,-68,23
-54,-40,-47,-63,-68,23
-52,-46,-49,-58,-67,23
-59,-45,-47,-59,-67,23
-58,-50,-65,-68,-69,23
-59,-51,-54,-66,-71,23
-62,-58,-60,-68,-70,23
-55,-49,-55,-68,-73,23
-62,-40,-53,-69,-68,23
-59,-47,-53,-66,-68,23
-56,-45,-59,-64,-65,23
-57,-40,-59,-62,-68,23
-49,-43,-56,-71,-79,23
-52,-38,-56,-73,-74,23
-51,-41,-56,-70,-74,23
-49,-47,-47,-68,-69,23
-56,-46,-48,-62,-69,23
-51,-42,-47,-62,-73,23
-52,-39,-46,-60,-66,23
-53,-44,-46,-63,-66,23
-58,-43,-58,-73,-78,23
-48,-36,-55,-75,-77,23
-51,-37,-57,-69,-69,23
-52,-38,-53,-63,-68,23
-52,-48,-48,-60,-73,23
-51,-49,-48,-62,-68,23
-49,-45,-49,-64,-70,23
-48,-36,-55,-63,-68,24
-51,-44,-51,-68,-71,24
-49,-39,-51,-66,-72,24
-59,-47,-63,-69,-74,24
-50,-48,-57,-62,-72,24
-52,-40,-59,-69,-77,24
-51,-43,-55,-76,-74,24
-54,-49,-43,-58,-70,24
-50,-48,-48,-63,-68,24
-62,-43,-50,-69,-76,24
-51,-43,-55,-67,-77,24
-43,-48,-58,-59,-78,24
-45,-50,-54,-72,-83,24
-43,-53,-55,-62,-75,24
-43,-47,-60,-64,-77,24
-67,-36,-58,-65,-73,24
-53,-37,-48,-62,-70,24
-57,-44,-46,-65,-75,24
-47,-43,-48,-64,-74,24
-48,-40,-49,-69,-73,24
-44,-45,-54,-72,-72,24
-42,-33,-58,-71,-74,24
-50,-37,-56,-73,-73,24
-48,-45,-62,-71,-72,24
-52,-37,-50,-67,-77,24
-51,-35,-51,-56,-71,24
-51,-43,-48,-62,-65,24
-53,-43,-47,-63,-76,24
-48,-38,-50,-60,-73,24
-54,-37,-55,-68,-73,24
-51,-40,-55,-76,-70,24
-45,-49,-59,-70,-76,25
-46,-43,-54,-71,-79,25
-44,-44,-54,-72,-73,25
-42,-44,-54,-66,-76,25
-41,-43,-41,-64,-70,25
-43,-39,-46,-62,-71,25
-44,-36,-47,-63,-70,25
-41,-38,-44,-60,-74,25
-39,-44,-50,-67,-79,25
-53,-38,-47,-65,-69,25
-48,-34,-43,-65,-71,25
-57,-45,-44,-64,-69,25
-63,-45,-46,-66,-71,25
-59,-36,-50,-62,-68,25
-55,-36,-50,-62,-70,25
-56,-43,-57,-62,-72,25
-52,-47,-57,-71,-72,25
-47,-48,-59,-75,-72,25
-44,-37,-58,-64,-72,25
-39,-48,-53,-72,-76,25
-39,-48,-50,-74,-73,25
-40,-35,-48,-64,-69,25
-41,-33,-48,-64,-73,25
-40,-35,-48,-64,-68,25
-35,-45,-52,-66,-77,25
-44,-43,-52,-70,-78,25
-43,-43,-52,-74,-78,25
