sexo,est.civil,sede,gpo.prof,class,zona,r.edad
0,2,1,9,2,4,2
1,2,1,9,2,4,1
0,2,2,9,2,3,2
1,2,0,9,2,7,1
0,2,2,9,2,5,1
0,2,2,9,2,0,0
1,2,1,9,2,8,0
0,2,0,9,2,4,1
0,2,2,9,2,5,1
0,2,2,9,2,5,1
0,2,2,9,2,5,1
1,2,2,9,2,5,1
0,2,1,9,2,8,2
0,2,0,9,2,3,1
1,2,2,9,2,5,0
1,2,0,9,2,3,0
0,2,2,9,2,3,2
1,2,0,9,2,4,0
0,2,1,9,2,4,2
1,2,2,9,2,5,1
1,2,2,9,2,8,2
0,2,0,9,2,4,1
0,2,0,7,2,4,0
0,2,0,4,2,4,1
0,2,0,4,2,4,1
1,2,0,2,2,4,1
0,2,0,11,2,2,0
0,2,0,11,2,4,1
0,2,0,11,2,3,1
1,2,0,12,2,4,2
1,2,0,12,2,4,2
0,2,0,12,2,4,2
1,2,0,12,2,7,1
1,2,0,12,2,7,2
0,2,0,12,2,4,2
1,2,0,4,2,4,2
1,2,0,13,2,4,2
0,2,0,13,2,4,1
0,2,0,13,2,4,2
0,2,0,13,2,4,1
0,2,0,13,2,4,1
1,2,0,13,2,4,2
0,2,0,13,2,4,1
1,2,0,13,2,4,1
0,2,0,13,2,4,2
1,2,1,18,2,2,0
0,2,0,2,2,4,1
0,2,0,15,2,5,5
0,2,0,15,2,4,3
0,2,1,15,2,4,1
0,0,0,15,2,4,2
0,2,0,15,2,4,3
1,2,0,15,2,8,1
0,2,0,15,2,5,1
0,2,0,15,2,8,1
0,2,2,15,2,5,2
0,2,0,15,2,5,2
1,2,0,15,2,5,5
0,2,3,15,2,7,1
0,2,0,15,2,4,1
0,0,0,15,2,4,4
0,2,0,15,2,3,1
0,2,3,15,2,8,1
0,2,0,15,2,8,5
0,2,0,15,2,1,2
1,2,0,15,2,8,5
0,0,0,15,2,4,3
1,2,0,15,2,4,3
1,2,0,15,2,8,5
1,2,0,15,2,7,1
0,2,0,15,2,3,2
0,2,1,15,2,3,1
1,2,0,15,2,4,1
1,2,0,15,2,4,2
0,2,0,15,2,4,1
0,2,0,15,2,4,2
1,2,0,15,2,4,3
0,2,0,15,2,3,1
1,2,0,15,2,5,3
1,2,0,15,2,8,5
0,2,0,15,2,8,1
0,2,0,15,2,8,1
0,2,2,15,2,5,1
1,2,0,15,2,8,1
0,2,2,15,2,5,1
0,2,0,15,2,4,1
0,2,0,15,2,4,1
0,2,2,15,2,8,1
0,2,1,15,2,8,1
1,2,0,15,2,7,1
0,2,0,15,2,4,2
0,2,0,15,2,8,1
1,2,0,15,2,4,1
0,2,0,15,2,4,2
0,2,0,15,2,7,1
1,2,0,15,2,8,5
0,2,0,15,2,4,2
0,2,0,15,2,4,1
0,2,0,15,2,8,3
0,2,2,15,2,3,0
0,2,0,15,2,0,1
1,2,3,15,2,7,1
1,2,0,15,2,4,2
0,2,0,15,2,3,1
0,2,0,15,2,4,5
1,2,0,15,2,4,2
0,0,0,15,2,4,2
0,2,0,15,2,2,5
1,2,0,15,2,4,4
0,2,0,15,2,4,2
0,2,0,15,2,8,1
1,2,1,15,2,3,2
0,2,0,15,2,2,2
1,2,0,15,2,8,5
0,2,0,15,2,8,3
0,2,0,15,2,4,2
1,2,0,15,2,5,1
0,2,0,15,2,4,1
1,2,0,15,2,5,1
1,2,0,15,2,4,1
0,2,0,15,2,8,5
0,2,0,15,2,8,1
1,2,0,15,2,2,1
0,2,1,15,2,4,1
0,2,2,15,2,8,2
0,2,0,15,2,4,1
0,2,0,15,2,4,1
1,2,1,15,2,8,1
0,2,0,15,2,4,1
1,2,3,15,2,7,1
0,0,0,16,2,4,3
0,2,0,13,2,4,1
0,2,0,18,2,4,1
0,2,1,13,2,4,3
1,2,0,13,2,4,1
1,2,0,13,2,4,1
0,2,0,13,2,4,1
1,2,0,13,2,8,1
1,2,2,20,2,8,3
1,0,0,20,2,2,2
0,2,0,22,0,4,2
0,2,0,9,4,4,1
0,2,0,0,5,4,3
0,2,0,0,5,4,1
0,2,0,0,5,4,1
0,2,0,0,5,4,4
0,0,0,7,5,4,3
0,0,0,8,5,4,2
0,0,0,8,5,4,2
1,2,1,9,5,2,2
1,2,0,15,5,3,2
0,2,0,15,5,4,5
0,2,0,15,5,4,2
0,2,0,15,5,4,2
0,0,0,13,5,4,3
0,0,0,13,5,4,3
1,2,0,2,4,4,2
0,2,1,6,4,4,2
0,2,0,7,4,4,1
0,2,0,9,4,4,1
0,2,0,9,4,2,1
0,2,1,9,4,4,1
0,2,1,9,4,4,2
0,2,0,15,4,4,3
0,2,4,15,4,8,1
0,2,4,15,4,8,1
1,2,0,15,4,8,2
0,2,0,18,4,2,2
1,2,0,9,0,7,1
1,2,0,9,0,7,1
1,2,0,5,4,4,0
1,2,0,5,4,4,0
1,0,0,5,4,4,1
0,2,0,5,4,2,5
0,2,0,10,4,4,0
0,2,0,0,4,4,5
1,2,0,9,4,3,0
0,2,0,9,4,8,1
1,2,0,9,4,4,0
1,2,0,9,4,4,0
0,2,0,9,4,4,1
0,2,0,9,4,4,0
0,2,0,9,4,4,0
0,2,0,9,4,4,1
1,2,0,9,4,5,1
0,2,0,9,4,4,0
0,2,0,9,4,4,0
1,2,0,9,4,3,0
0,2,0,9,4,4,1
0,2,0,9,4,4,1
0,2,0,9,4,4,1
0,2,0,9,4,4,0
0,2,0,9,4,4,1
0,2,0,9,4,4,0
0,2,0,9,4,8,1
0,3,0,9,4,4,0
0,3,0,9,4,4,0
0,2,0,9,4,4,1
0,2,0,9,4,4,0
0,2,0,9,4,4,1
0,2,0,9,4,4,0
0,2,0,9,4,4,1
0,2,0,9,4,8,5
0,2,0,9,4,4,1
0,2,0,15,4,4,0
0,2,0,15,4,4,0
0,2,0,15,4,4,0
0,2,0,15,4,4,0
1,2,0,15,4,4,0
1,2,0,15,4,7,0
0,2,0,15,4,4,0
0,2,0,15,4,4,0
0,2,0,15,4,8,5
0,2,0,15,4,4,0
1,2,0,15,4,4,1
0,2,0,15,4,4,0
0,2,0,15,4,4,0
0,2,0,15,4,4,0
0,2,0,15,4,4,0
0,2,0,15,4,4,1
1,2,0,15,4,4,0
1,2,0,15,4,4,0
0,2,0,15,4,4,0
0,2,0,15,4,4,5
0,2,0,15,4,4,1
0,2,0,15,4,4,0
0,2,0,15,4,4,0
0,2,0,15,4,4,1
