Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,up,direction
2018-06-09,110.269997,113.279999,109.900002,112.57,62892800,109.177209,104.0577891,111.47266670000002,118.88754420000001,Increasing
2018-06-08,111.790001,114.209999,111.760002,114.209999,49915500,110.76778,104.1180015,111.3741666,118.63033159999999,Increasing
2018-06-07,116.58000200000001,116.889999,114.860001,115.309998,58363400,111.834625,104.1011364,111.3871666,118.67319669999999,Decreasing
2018-06-06,115.93,116.529999,114.41999799999999,116.279999,43341200,112.77539099999998,104.18908929999999,111.3358331,118.48257679999999,Increasing
2018-06-05,116.25,116.540001,115.440002,116.410004,37173500,112.901478,104.2372114,111.3098331,118.38245479999999,Increasing
2018-06-04,115.660004,116.489998,113.720001,113.91999799999999,64112600,110.486519,104.27673459999998,111.27516640000002,118.27359820000001,Decreasing
2018-06-03,112.209999,114.300003,111.870003,113.449997,74285300,110.03068400000001,104.2766727,111.2916665,118.30666029999999,Increasing
2018-06-02,113.66999799999999,115.370003,113.660004,115.209999,50222000,111.73763999999998,104.666951,111.64049979999999,118.6140487,Increasing
2018-06-01,113.379997,114.18,112.519997,113.400002,50346200,109.98219499999999,107.1040188,112.2434997,117.3829807,Increasing
2018-05-31,113.629997,114.720001,113.300003,114.32,35756700,110.87446499999999,108.28828590000002,112.6433331,116.9983804,Increasing
2018-05-30,113.25,115.5,112.370003,115.0,50219500,111.533971,109.0475652,112.9473331,116.847101,Increasing
2018-05-29,116.440002,116.690002,114.019997,114.709999,56151900,111.25271000000001,109.11167040000001,113.1013332,117.09099599999999,Decreasing
2018-05-28,113.849998,114.57,112.440002,112.440002,52109000,109.05113,109.13745870000001,113.12316659999999,117.10887450000001,Decreasing
2018-05-27,112.83000200000001,113.510002,107.860001,109.059998,73365400,105.77299599999999,108.78331840000001,112.9754999,117.1676815,Decreasing
2018-05-26,110.16999799999999,111.540001,108.730003,110.300003,66473000,106.975629,109.0444831,113.03566670000001,117.0268504,Increasing
2018-05-25,109.07,109.620003,107.309998,109.58000200000001,63929100,106.277328,108.58120259999998,112.9140003,117.246798,Increasing
2018-05-24,108.010002,111.010002,107.550003,110.379997,58019800,107.05321200000002,108.3483737,112.843167,117.3379602,Increasing
2018-05-23,109.879997,111.370003,109.07,110.779999,52064700,107.441158,108.5314398,112.89300039999999,117.25456090000002,Increasing
2018-05-22,110.629997,111.739998,109.769997,111.309998,48196800,107.955183,108.43656709999999,112.85350030000001,117.2704335,Increasing
2018-05-21,111.739998,111.769997,109.410004,110.779999,46765600,107.441158,108.34851359999999,112.8205004,117.2924872,Decreasing
2018-05-20,110.190002,110.190002,108.209999,109.5,61979600,106.19973700000001,107.97314320000001,112.68966709999998,117.40619099999999,Decreasing
2018-05-19,110.0,112.279999,109.489998,112.120003,52766100,108.740775,107.84239779999999,112.5848337,117.32726969999999,Increasing
2018-05-18,112.730003,112.75,111.440002,111.599998,30467200,108.236443,107.8680865,112.3970004,116.92591440000001,Decreasing
